comment,sentiment
الله ولي التوفيق,P
على خير نشالله,P
موفقين ياقلبي,P
بالتوفيييق لقلبي,P
اللقطات شو بتفيدنا من المؤتمر حطو بوست شو النتائج والارقام والقرارات يلي نتج عنها المؤتمر,N
شو هل نادي الكرامه هادا يا عمي ماشاء الله  تعلم يا حصان يا جار الذوق والفن,P
ايمت رح يكون في شركة راعية للنادي متل أجنحة الشام مع الوحدة والقاطرجي مع الاتحاد,N
الكرامة الروح,P
بالتووووفيق للازرق الكرماووووي,P
شبو لعمير,N
بتوووفيق ياررب,P
يشد حالو بالرميات الحرة اذا جاب  من  بالوحدة مو معناتا ما عاد يصيب السلة بلعبة الثورة حيو الزياد,N
يستحق ان ياخذ فرصته بالفريق الاول متل اشرف الابرش,P
لعيب زيادووووو  الزير الملك,P
وحش جنيد,P
لعبو مبارة الإياب ولا لسى,N
الله يحميك,P
زياد و ناظو وحوش الشباب,P
ناطركن الاربعاء,N
الزير لعيييب,P
ما شاء الله عنك يا زيز,P
لم يكن,G
ناظوووو الملك,P
الله يحميك ياناظو دخيل ربك,P
جورجي اللعيب,P
دخيل قلبو هالناظو,P
فنان ع الحل,P
كل الحب للجميع,P
يومنا بيحلى لما يبلش برسائلكن اللطيفة,P
ناظو الملك,P
بين اهلو وبين ناسو,P
معشوق الجماهير الكرماويه,P
بتزكرني باحصائيات حلويني,N
نسر كرماوي أصيل قوي وسيم محبوب الجماهير الله يحميك عبودي الغالي,P
ابو عدي الملك الله يحميك,P
ما شاء الله عنو الله يحميه شبابنا مستقبل نادينا,P
عبوود حبيبي ملك السلة,P
أحلى من كبوش التوتيشو بحبك يا عبودي,P
الله حيو الملك,P
وحش اب عدي,P
عبود الوحش,P
لك سيدا,P
قوة نادي الكرامة مجد ابوعيطة وبس,P
دج دج اب علي,P
اهم اهم اهم شي ما تعملو متل ما عملتو بالربع التالت المرة الماضية كانو فريق تاني تماما,N
ربي يسعد و,P
أشرف ما كان بيومو بس الله يعطي العافي,P
بس مين مفهم المكتب الاعلامي انو عم يمدح لاعب,N
آلله يحميك ابو علي,P
الاب علي الناموسسس,P
مو خوالك يا سبعي,N
ملك الستيل أبو علي,P
عقل وتفكير ابو علي,P
الناس يلي مو متابعة بتطلع عالنسب بس ما بتشوف انه اشرف اخد فاول هجومي وريباوند هجومي باكتر وقت حساس وكان ممكن نخسر اللعبة لو ما اخدن,G
إحصائية مرعبة,P
أبو علي لعيب و حاسم,P
على عيني و الله,P
امتى اللعبة بالشام,N
البرنس يا لعيب,P
الله يسعدو انشالله بيتحسن للأفضل وبيتطور مستواه عم ندعمو,P
موفقين بالعبور للدور القادم بإذن الله,P
اناشدكم بكلشي بلا فاصلة والله انتو أبطال ونحن معكم عالحلوة والمرة,P
بين اهلو و ناسو,P
احسموها بكرا يا ابطال,P
بس مشان الله بلا فاصلة عندي علوم,N
بالتوفيق وبدون استهتار رجاءا,P
حماك الله,P
بالتوفيق لابطالنا,P
بالتوفيق والنصر,P
ابطال الدوري,P
ولله من لما فتت الجامعة بدرس لحالي ما حضرت ولا محاضرة,N
يا رب يا رجال,P
بالتوفيق نسورنا الشجعان,P
بالتوفيق للكرامة ان شاءالله,P
يارب بدنا نتأهل بدون فاصله,P
بالتوفيق يا حبايباحسموها مابدنا فاصلة,P
ما عأساس نصف نهائي,N
بكرا حسم التأهل,P
الله يوفقكن ينصركن ياغوالي,P
وووووين البث لهلئ,N
أبطالنا الله يوفقكم ومايضيعلكم تعب بإذن الله ناطرين منكم اللعبة بكرا يارب,P
بالتوفيق للنسر الأزرق والفوز بعون الله,P
اذا مافي غلبة يعني بركي بتطمنونا عن وضع الحاضري,N
كل الاحترام للمدرب الله يوفقكم,P
انهوا استعدادهم وطعمونا خسارة للذكرى,G
منصورين باذن الله,P
وين بث المبارة,N
منصورين يا رجال,P
اكتر قصة وضحت مع فريق  هي دور المدرب يلي عنا  شغلة,N
وعندك لعيبة كرااامة,P
في نقل,N
طيب ليش مو سافر الفريق قبل بيوم ويتمرن هنيك والله غريبي يعني بتوفيق عكلن بس هي وحدة بحق الادارة,G
بالتوفيق والنصر ان شاء الله,P
الله يوفقكم,P
عم نستنا تفرحونا بكرا,P
طيب مالازم يتمرتو بصالت الفيحاء,N
أولا الكوتش أبو طوق لازم مانتخلا عنو من هلق ع الأقل لبعد  سنة,P
الف مبروك على خطا الرباع الذهبي طلال نجار,P
الوحدة عطو مكافأةمالية,P
من بلد الفشل تحدى الصعاب,G
رفع الأثقال مارفع راسك,N
عقبال أبطال ألعابنا الفردية نشوفن بالأولمبيادات,P
طول عمرها سوريا عندها أبطال برفع الاثقال أطال الله بعمرك يا طلال النجار بطل العرب واسيا,P
الف مليار مبروووووووووووك,P
صاروا  رافع راسي فيهن,P
الف مبرووووك للبطل,P
مبرووووك يا بطل,P
حيااك يابطلل,P
ألف ألف ألف مبروك,P
الف مبروووك,P
ابن العم الغالي,P
خلي الاندية  تتعلم منكم,P
ولله وحش,P
هلء الوزبة بباركو وبيحذفو المباركة بعد شوي,G
برافو وحششش,P
مبروك للبطل,P
بل اخير الكرامة بضل كرامة لو منخسر فرق نقطة ما بتفرق,P
مبرووك لجمهور الاضحكني صرنا نشتقلكن,P
ولله مابفهم شي بالسلة بس بعرف انو الفاصلة للكرامة دايما,N
ليش هيك الاستهتار منشان النبي شدو حالكن بكرا ما حلوة ابطال دوري ونطلع من فريق الثورة مع احتارمن الي,G
هلق متوقعين الخسارة لانو تعودو الشباب علفاصلة بكل الفئات بس مو بهيك نتيجة يعني,G
في منهاجين للمباراة الفاصلة,N
ملووك الفاصلة واللعبة الكن بأذن الله,P
تذكرت مقوله للمرحوم عدنان بوظو هذه حدودنا  ممكن اعرف لشو والاستهتار والله عيب,G
اليوم الفريق كاملا باستثناء الكردي خارج الفورمة,G
بكرا بدنا نعمل  مع الثورة,N
مابعرف هي كانت مباراة ولا تمرين لفريق الثورة كأنوا فريق حارة كل مين ايده اله شو هالتعفيس هاد اليوم وعدم الاحساس المسؤولية عيب عليكم هيك لعب,G
ليش الكرامة بخسر حالو مشان يلعب فاصلة يعني في شي فائدة مادية للنادي,N
يعني في كم لاعب بطالعو الواحد عن كل شي ياريت ينتبهو عحالن وطريقة لعبن,G
شو عم يصير مابعرف لي على طول على اعصابنا,G
اخي انا برأيي بكرا نخسر ونطلع من الكأس أزبط ما نفوز ونتأهل لنلعب مع الجلاء,G
يلي عميقول انونتيجي متوقعا اجينا معك انونتيجي متوقعا بس مابهيك نتيجي بأنويوصل لفرق لفوق لعشرن نقطه شي بحزبلقلب ومؤسف لي صارلفريق مانوبمستوا ابدن اسوء مبارا على لأطلاق نرجوتغيير الصورة وتدارك ماحصل,G
يا اخي اذا ما لعبو فاصلة بموت تقول مابعرف والله اعصاب معد في,G
ننتظر الحسم غدا والله لعبو فينا لهب ويبقى الكرامه,P
يااخي انتو جماعة الكرامة الفاصلة مرافقتكن وين ماكنتو,N
لك لك طلعو الأهلاوية من الوكر يلا بكرا بترجعوا عل الصامت بعد الفاصلة لك خيوو,N
هيك العادة بكرا منربح بفارق  نقطة,N
اوعى كرامة اعجقوهم,N
شوط اول وثاني جيدين ثالث شوط سيئين والرابع غير موجودين نهاىيا سلموا مفتاح الفوز للثورة وهو يستحق مبارك للثورة هاردلك للكرامة وهذه المباراة هي الاسوا بتاريخ كرة السلة الكرماوية,G
الفريق بأول وتاني شوط كانو موجودين بعدين مدري شو صرلن سلمون المباراة للثورة وكانو ابدا مو متفاهمين مع بعض للاسف,G
معليش شباب فداكن الفاصلة خلقت لا النا وبس بكرة بتعوضا,P
فدا الرجال,P
يلا شباب منفوز الذهاي ومنخسر الاياب ومنلعب فاصلة وهيك منبيع التذاكر  مرات وبيطلعلنا عزيمة عمطعم فلاني,N
سكور الكرامه بيعطي اشارات بتخوف للثوره باللعبه الفاصله بس محدا منن حس,G
هاردلك للكرماوية انتو قدا وقدود,N
سكورنا لحالو بدل على لعبة بكرا,N
معلش شو فيها بكرا منكفيها,P
عطول بدكن تلعبو فاصلة ليييش,G
نتيجة متوقعة من هيك لعب هردلك لنا مبروك للثورة,N
متل العادة الفاصلة خلقت للكرامة,N
يا خوفي هالمرة ما تسلم الجرة,G
معروفين بالفاصلة يا ابي,N
بس لي الفارق كبير,G
العفا ع ها الفريق ما يرباح لا بافاصلة,G
هاردلك كرامه,G
بتجيبوها بكرا,P
الف مبروك للثورة,P
مشكلة هون مافي لاعب طويل متل هابو,G
هاد فريق المعكرونة الي بعرفو,N
المباراة الماضية كتبت أنا,N
منشان الله حدا يفهمني كيف أخد الدوري,N
مبروك للكرامة من هلأ,P
حركة ذكية دوبو اللعبة الجاي كانت مع الجلاء,P
شكلا الفاصلة مو لعبتنا هالمرة,N
ال إلنا لاتضحكو جمهور حلب,N
له يانسور بكرى بتجيبوها,P
حتى الفاصلة للثورة,N
يعني عادي نحن اصلا عرفانين فريقنا مو جاهز تحت ال وفريق الثورة منيح يكتر خيرن وصلوا لهون,P
شو هالفارق الحلو,P
كأن متفقين كل اللعبات,P
خساره كبيري غير متوقعه,G
ألف مبروك للثورة وهاردلك النا الصراحة خروج هابو بل اخطاء ال أسر كتير علينا,P
ولك الله لايعطيكن العافية فوق تعبكن عهاللعب اللي بهوييي,G
الثوره فريق قوي بالشباب يلي عندو بس الكرامه لازم مايستهتر بكره ويرجع معو المباره,P
الله حيو الشباب,P
هاردلك كرامة النسور الزرق,P
ابللااااااع ولك حريمة,G
الشباب بحبو الاكشن,P
نادي تحويشة اش ديطلع منو بلسله,N
بربكن مو متقصدينها,N
ايوا بس الفارق كبير,G
يا حيف شو هل خسارة هاي وادام مين فريق مانو مسموع عنو,G
رجال الفاصلة انتو,N
شواخي تعودتو تطحنو البشر بلفاصلات ههههه,N
معليش شوفيا بكرا مكفيا,N
انتو ما بتحبو تتاهلو غير اذا فاصلة,N
دائما الفوز للأفضل هاردلك للكرامة وبحاجة لقواعد شابة ترفد الفريق وكل شي ممكن في الغد,N
ابو مصعب  كل عام وانت بالف خير يا حب  وان شاء الله بشوفك دائما باعلى المراتب وبأفضل الاماكن باذن الله,P
ماكل مره بتسلم الجره ربحنا بحمص بفارق نقطتين وخسرنا بالشام بفارق كبير  نقطه بعتقد إنو هالمره صعبه الله يستر,N
إن شاءالله بكرا بتتعوض ومنفرح بالفوزومتل موالكل بيعرف الفاصلة بس للكرامة بالتوفيق,N
بجيبوها بأذن الله,N
الله يعطيكم الف عافيه,P
بسيطة يا ابطااال منعوضا بكرا,P
بتتعوض ان شاء الله,N
معلش ابطال منعوضها ما صار شي لعبوا بتركيز لعبوا كفريق واحد بعيد عن الانانيه وبتجي ان شاء الله عنا ثقه كبيره فيكن موفقين,P
كل لحب الكم,P
نادي الاتحاد,N
بتوفيق للازرق الكرماووي,P
بتوفيق لابطالنا الصغار,P
انشاء الله اليوم بيربح الكرامة,P
مأكل مره بتسلم اجره الثوره أفضل مننا,N
ما أحلاهم اللي بيصنعو الفرح,P
بتجيبوها شباب,P
بتجيبوها ان شاء الله,P
موفقين يا الكرامة,P
وين رجال الفاصلة,N
للفصل الكرامه الأصل,N
بتوفيق ان شاء الله,P
ان شاء الله اليوم منربح الثورة ومنتابع طريق الكأس,N
انشالله اهلاوي وكرماوي بجيبوها,N
بلتوفيق يارب,P
كلشي الا هاد يلعب,N
يارب  بس مباراه كتييييير صعبه  يارب,N
لأسف راح نخسر المباراة لكن ربحنا رجال,G
ان شاءالله منصورين يا رب,N
احلا لاعب بالثورة عمر ادلبي,P
بالتوفيق للفريقين تقديم مباراة جميلة تليق بتاريخهم,P
حطلي كلمة استاد بين قوسين وبعدها مليون إشارة تعجب وتاغي لرئيس اللجنة التنفيذية,N
بعون الله  دوري كرامة,N
وشو مشان أرضية لملعلب لاتصلح لرعي,G
علي رمضان  لن احتفل اذا سجلت في مرمى الكرامة,N
في جمهور ممكن الرد وبالتوفيق,N
طيب قولوا بالبوست في جمهور ولا مافي,N
لا هاد الحكي قمة الاحراج,G
هل رح يتم نقل المباراه على صفحة النادي,N
يعني رجال السلة خسروا وبتحت  سلة خسروا بكرا دور فريق القدم يخسر كمان,G
بالتوفيق النسور,P
شو صار بالملعب,N
حلوين نسورنا خاصة بالكوارتر الاول,P
يعني  نقط للثورة بالكوارتر التاني لحالو هي كارثة,N
حرام فرق نقطة بس يركزو بالدفاع شوي و خصوصا ع عمر المباراة مضمونة,N
مبارات قوية بالتوفيق للكرامة,P
حرام حرام لازم فارق  كيف خليتوهن يحطو  ثلاثيات ورا بعض الفوز النا نشالله,G
روحو رجعوو ع حمص وحاج تعمل فواصل,G
بل توفيق للنسر لازرق من قلب اهلاوي,P
النتيجه ياشباب طمنونا,N
يارب فوز,N
بداية رائعة كانت للكرامة منكمل فيها انشالله,P
خجلانين تقولوا خلصت وخسرتوا,G
صعبةة يارب تكملل تركيز بس تركيز يا شباب ياااارب,N
يارب بس صعبة,G
شو وضعو الثورة هو فريق جيد عادة ولا نحنا اللي فايتين بالحيط,N
الثورة فريق قوي ولاعيب الخسارة اكيد نحزن بس الثورة اوزن وعمر ادلبي نجم قادم بقوة واعتقد الثورة سيكون بطل الكأس لانو الرتم العالي سيزداد مباراة بعد مباراة هاردلك اكتشفنا نجوم جدد للنادي وبيضل الدوري البطولة الاثمن,N
هاردلك لفريقناكباروبضلوكبار الله يعطيكن العافية,P
معلش بتعوضوها كلها خبرة للفريق للموسم القادم,N
شتقنالكن جمهور الاضحكني,N
والله ازا بدنا نشتغل صح الأدلبي ازا الو حل بيكون السنة الجاي كرماوي لانو لاعب خارق فكرت حالي عم اتفرج ع الدوري الأمريكي,P
الاستهتار وعدم احترام الخصم وقلة الخبرة وصلتنا لهون,G
مباريات مع الثورة من اسوء مايكون  شو يلي صار فزنا عالوحدة يلي هوي احسن من الثورة وقدمنا لعب حلو لو اننا طالعين عايد الوحدة كان احسن,G
أبطال و نسور متل عادتهم,P
هاردلك يا قاهرين كل الفرق,N
معلش الله يعطيكن العافية كسبتو خبرة بهال لعب,N
هاردلك يعطيكن العافية طبيعي الفريق يلي رح يعتمد ع  لاعبين بالبطولة مارح يبعد أكتر من هيك بكل حال ما قصروا ومبروك للثورة,P
من كثر اضحكني بتعرف قديش الكرامة قاهرهم يالطيف شو عامل فيكم منهم الحاصل ع بطولة فقط ومنهم الفاصلة راحت معهم العمر كله ومارح ينسو هالكلمة الفاصلة,N
هارد لك طبطبة,N
مع انو كان ناقصنا شوية تركيز,N
معليش هاردلك لابطالنا الصغار الله يعطين العافي ما حدا قصر منن,P
هاردلك لابطال الدوري,N
بدون قواعد مافي مستقبل للسلة لان ما دايما المال و الداعم موجودين,N
الرجاء من الادمن عمل حظر  وتنظيف الصفحة من كل دخيل عالصفحة من جماهير الاتحاد,N
رجال رغم كل ش شايلللليينكن للاهم,N
يلي بدو يقلل منكن لسا ماخلق وان فزتو او خسرتو رح تبقو جوا القلب والروح  الله يعطيكن العافية,P
الي حاطط اضحكني ع البوست تعا ذكرني شو عملنا فيك ببطولة الدوري تعا,N
ان شاء الله المستقبل لنا هيك ممكن نبني فريق شاب يخدم لسنوات,N
هاردلك لفريقنا,N
ياحرام عليكن بس رعونة بالدفاع مو طبيعية وفاولات كب واعتراضات والله حرام كانت بتنجاب نشالله الموسم القادم الكأس ازرق,G
هاردلك للكرامة  ومبروك للثورة بيستاهلوا وبالتوفيق بباقي مشوارهم بالكأس احسن من اللي ما بيطلع معهم غير الأضحكني عالفيس وبيتشرشحوا بالصالة,N
هردلك لا ابطال لدوري ومبروك لثوره وتحيه كبيره من قلب اهلاوي للنسر الازرق لقادم افضل انشاء لله,P
وحوش وعملو العليهن وقاتلو لآخر لحظات المباراة,P
بفريق الرديف وصلنا لهون,N
هادرلك لابطال الدوري,N
موضوع عزام حاكمي مع الابرش مالازم يمر مرور الكرام ماهاي اخلاق نادي الكرامة ماهيك بيتعاملو ولاد النادي مع بعض بمباراة مصيرية هالموضوع برسم الإدارة والكادر,N
بسم الله فنبد سعادة جديدة,N
يكفي انه كسبنا اربع لاعبين كتير مميزين وراح يكونوا دعم للفريق الأول الموسم القادم ابدا ما كانت خسارة هالبطولة,P
خروجنا من الكأس بقرار ظالم بحق نادينا خلي القوطرش ينبسط هيك هاد القرار لوقف زحف الكرامه نحو الكأس بعد بطوله الدوري نادينا كان هوي المستهدف الأول من هيك قرار للاسف الله لايبارك فيكن,G
هاردلك بيكفي هالعالم المقهورة منكن,N
بالتوفيق بالقادمات يعطيكم العافية ماقصرتو,P
هاردلك والف مبروك للثورة فريق محترم ويعطيهم العافية للشباب ما قصروا والمستقبل قدامهن,P
قرارات فاشلي تحت  مشان ما تخد البطولة الكرامة,G
هارد لك للكرامة أداء مشرف ومبروك للثورة,P
هاردلك شباب المهم ينبسط القوطرش بالقرار تبع الاعمار اللي اخترعو من عندو,G
الله يعطيكن العافي بس كان لازم نفوزيالله خيرا بغيرا,N
يعطيكون العافية معلش ما صار شي  ونحنا منفتخر فيكن ابطال الدوري انتو,P
اول هردلك تاني شي يعني والله ما بعرف نحنا بي امس الحاجه لنقطه والوقت ومساعد المدرب نضال عم يعترض وناكل فولات طيب ليش ليش,N
اللي عم يضحكوا مين قلن انو متأملين ناخد اللقب مثلا بعد قرار ل   فريق الثورة أفضل منا بكتير وبيستاهلوا,N
الله يعطيون العافية شبابنا أبطال ومنفتخر فيون المستقبل كلوووو الكون,P
هاردلك لل ناموس,N
هاردلك بكفي بطولة الدوري يأبطال,N
الله يعطيكم العافيه,P
بالتوفيق بالقادمات ان شاء الله,P
حلوين مستقبلا هاردلك يا ابطال,P
ناقصهم اللعب بجماعية اكثر وعدم التسرع,N
هاردلك لأبطال الدوري,N
شكلوا ماطفت الكهربا,N
هاردلك بطال الدوري,N
رغم خساره النسور بس والله المباره كانت حلوة كتير وشي بيرفع الراس,P
سلمولي ع ملوك الفاصلة,N
هاردلك يا رجاااال,N
اذا البطل الغير متوج الوثبة غادر,N
لمهم عادييي اصلن هابوو لو معن كانن سوا لعليهه,N
بتعرفو الراس والله,N
هاردلك اخواتي,N
انشالله بعوضوا بالقادمات,N
هاردلك للكرامة,G
هاردلك لاخواتنا,G
هاردلك يا رجال,G
كنو صحي شوصارعليكن,N
يعطيكم العافي ماقصرتوا,P
والله الثورة فريق جيد هاردلك كرامة,N
كرماوية ع الخسارة قبل الربح معاكم,N
شو هالاستهترار ياشباب شو مفكرين كل الفرق متل الاتحاد مضمونة الفاصلة ضدن,G
هاردلك ياابطال الدوري,N
قدر ألله ومشاء فعل,N
مبؤوك لنادي الثورة وهاردلك لفريق الكرمه البطل,N
قدر الله وماشاء فعل,N
يعطيهم العافيه,P
جماعا لأتحاد بيتركو شباب لمعلقين و بيجو علبنات يتمرجلوو شعشاننن,N
هاردلك لفريقنا النسر الازرق,N
الفقرة المهمة يعطيكن العافية,P
توغل مميز من القلفا ليدخل منطقة الجزاء ويسدد لكن التصدي كان رائع من شاهر الشاكر,P
الف مبروك وبالتوفيق ببطولة الدوري,P
احلى كرنفال بالكرة الارضية يعطيكن العافية شي بيرفع الراس,P
الف مبروك وبالتوفيق للجميع بالدوري والكاس,P
مبروك شباب بس لازم يكون في بث,P
هي خسرناكن كمان لانكن تأخرتو,G
بتمنى من الدكتور غسان القصير يضم لاعب او لاعبين بالقدم ونسكر ملف التعاقدات للقدم,N
مبروك لنسورنا لكن كيف اداء الفريق,P
مبروك لازرقنا,P
تلافي السلبيات وتعزيز الأيجابيات هو مانأملة من تجاربنا الودية عقبال الرسمي يارجال,P
لاداء ممتاز وخصوصا العنيزان والزين ممتازين وشمالي,P
مبروك ننتظر الانتصارات في المواعيد القادمه,P
موفقين بس حطولنا لقطات من المباراة,N
أحلى الصفقات شمالي وعنيزان وشاهر بالتوفيق,P
كرنفال رائع مرمريتا رائعة اهلها في منتهى الروعة الله يوفقكم ويحميكن,P
الف مبروك شباب طمنونا شوصار بعبد الاله الحفيان,P
الف مبروك الفوز وبتبقى مباراة ودية وتجريب لبعض اللاعبين,P
بس كان بدنا نشوف مهاجم صريح عم يسجل,N
الف مبروك وبلتوفيق بلدوري والكاس,P
بدنا الاهداف وشرح مفصل نحنا المغتربين بالسكن الشبابي مافينا نشوف المباراة,N
بتوفيق الدائم يارب,P
التاسعة مسألة وقت انشالله,N
شقد قتلناها للوحدة هالشهرين,N
رجال ومكترين,P
بيلعبو حجرة ورقة مقص,N
ومين سجل للوحدة مو هيك المفروض يكون المنشور,N
اكتر لاعب متفائل فيه السنة,N
العنيزان الناموس,N
هاد الحكي مبشر,N
ويلي ويلي,N
هو نيدز علي رمضان,N
عقبل الرسمي,N
تخيل هجمة مرتدة للوحدة رأفت مهتدي وعلي رمضان وخود على ضحك,N
بالتوفيق ان شاءالله شدوا الهمة,P
الله يوفقكم ياابطال,P
حافظوا ع ابو الريم نصيحه لوجه الله,N
رائع بتستاهل مرمريتا تكون البلدة السياحية الأولى بالعالم كله برقيها وجمالها الله يعطيكن الف عافية,P
الصور شغل عمر,N
يا ريت اسماء اللعيبة وجنبن ارقامن,N
أفضل صفقه الشمالي وعنيزان وشاهر بالتوفيق انشالله,P
بدنا طقم يكون جديد وأحلى من هاد للموسم الجديد,N
فريق متكامل دفاعيا وعلى الاجنحة ما عدا الهجوم نحن بحاجة لمهاجم سوبر بالإضافة للحزم مع محمود الأسود بسبب الاحتفاظ السلبي بالكرة وخسارتها للخصم وشادي الحموي خارج نطاق التغطية وبحاجة لعمل كثير,N
مصعب بلحوس وحيان حموي وينن,N
بدنا دفااع بس,N
ابراهيم الزين مو وقع مع الجيش,N
كيف شادي مهاجم واخد رقم,N
أحمد الشمالي لاعب متكامل وله مستقبل رائع,P
مع انو اول لعبة مع بعض بتشكيلة كاملة بس كانو ممتازييين,P
حلا شي انو علي رمضان,N
طبت لعبت يا شباب مافي لاخطة و لاشي,N
وينو محمد حيان الحموي,N
يرحم ايامك يا حطين,N
ولله وختيرت ياأبو الريم,N
هلأ عنجد بلش اللعبة ب,N
أحلى حصة تدريبية,P
الكرامة ابطال الدوري بالقدم والسلة,P
ودي رسمي شو الغريب النسور تكتسح الجميع,N
قرب الموعد والشوق اكتمل,N
مبروك يا رجال,P
أبو ابو سكين كنت ضيف بلعبة,N
الكرامة وبس,P
وانتم بألف خير ينعاد عليكم بالصحة والعافية واليمن والبركات,P
وانتم بالف خير عساه عام الفرج يارب,P
وانتم بخير والفريق بخير,P
وأنتم بألف خير,P
كل عام وانتم بالف بخير,P
وانتم بالف خيرررر,P
كل عام وانتم بخير,P
وانتم بالف خير,P
مراجل وانتم بالف خير,P
صباح النور والفل,P
وانتو بألف خير اهلاوي,P
كل عام والأمة الإسلامية بالف خير,P
الكيان العظيم,P
وانتم بي الف خيرر,P
وأنتم بألف خير يا رب,P
وانتو بألف خير يا كل الخير,P
كل عام والامة الاسلامية بخير,P
مكانك راوح,N
اذا مالكن قادرين تعملو منشآت خصصو الاندية والاندية بتعمل شركات وبتصرف على حالها وبتنبي منشاآت,N
ع اساس بدك تعمل الصالة جديدة هلا صار بدك تصلح,N
طيب كابتن فراس,N
قولات الحلبية حكاياااا,N
اذا ماجبنا أجانب الأفضل عدم المشاركة ببطولة آسيا للسلة,N
لا تعليق,N
هلء في شيء مليون ليرة مكافئة من الاتحاد الرياضي اسوة في غيرون قدامهم الشباب تحضيرات للمسابقات القارية هاد البيجي بالفحص,N
تحية من القلب لنسور الكرامة الأبطال,P
استاذ فراس لازم تشتغل على صالة كبيرة لمدينة حمص,N
الدوري باقيلو شهرين تقريبا,N
لا حول ولا قوة إلا بالله,N
اي اذا بتبنو صاله جديده مابتكلف هالمبلغ مليارات ولا في حصص بدها تتوزع بيناتكم متل العاده اللجنة التنفيذية بحمص قديش سرقو ونهبو من ورا الملعب ولسه ما خلص,G
أبر بنج متل العادة,G
ملاعب حمص وصالاتها ماتت ضحك,G
بالتوفيق للكرامة بالقادمات خاصة بكرة القدم,P
فسرو النقط,N
الله  المستعان على الاتحاد الرياضي السيء,G
عقبال كل سنه الدوري والكأس مع الكرامه,P
كبيرنا وحكيمنا الغالي,P
بيستاهلوا بالتوفيق ان شاء الله,P
شو مشان التعاقدات,N
دكتور غسان الله يحميك,P
طبيب القلوب,P
الله يحميك ويطول بعمرك دكتور القلوب الكرماوية,P
لكا كيف بدك تنافس ع دوري فهمني اذا اللعيبي كلا ولاد البعض منن حرام يلعب,G
يعني اللي بيحط هيك عقد ببند لاعب بشو بيكون عم يفكر,G
بالتوفيق للكل,P
اي و منتركن يروحوا عادي بدون ما نتعاقد مع لعيبة بدالن لنمشي حالنا فين و نسد النقص,G
يعني نطرو لاخر يوم و قررو يطلعو,G
اتصلوا بشباب الجيل الذهبي يا سيدي بعد كل هالسنين بيعطو أحسن من هالفراطة والعجان يلي لامينن,G
لو متابعين اداء الفتوة من شوي كان بكيتو عحالكن اسماء كبيرة وخليط من الخبرة والشباب,G
رح نسامحكن هالمرة,N
عسى ان تكرهو شيء وهو خيرا لكم,N
شو بدكون بالقدم ادعموا السلة خلينا سنة الجاي دوري وكاس القدم اذا ماعندك  حريفة من ولاد النادي بلاها هل فوتة,G
عقود ضعيفه نتمنا احترام اسم وتاريخ النادي وما يكون احتياط ازا اللاعب ما لائا نادي يعني بيلعب معنا,N
شو هالقوانين العقود بالدوري بشكل عام مسخرة بعلمك جابو لاعب تاني يوم بتفيق بتلاقيه بغير محل او كلا اتفاقات شفهية,G
ولاد صغيرة عم تقدر تلعب بالعقود على رئيس النادي وأتباعه وايمت ما بدهم بيرحله وبينتقله تخيل النادي منافس على بطولة الدوري وبالامتار الأخيرة اللعيب يتصل بالنادي و يقله للمدرب والله دائقت خلائي ووقعت عقد مع نادي جديد,G
عم ناساس للخطه الخمسينه الكرامه بمن حضر حتى لو اشبال ما باثر,N
هاي شغلة العرض الخارجي,N
فرطت التشكبلة بكرا بحطو الحق على عبد القادر الرفاعي,N
ما عم نلحق نحفظ اسم اللعيبة ولا بيتغيرو,N
بدنا مدافع وصانع العاب يغطي روحة نصوح ياغوالي ياحبايب,N
محمد عنز محور الأرض,N
ياحرام شو بتزعلو,G
طيب لي ما اخدتو قيمة فسخ عقد من عبد الله جنيات او يعني ناديه لازم يدفع هيك شي,N
هي عبودي ابو فراس وتعفيساتو زغرطي يا نشراح,G
طيب وكيف يامحترمين ياخبراء الرياضة والتطور الرياضي بدكم تجيبو بديل الو بأقل من اسبوع فيكم تشرحولنا أذا سمحتو,G
وفقهم الله جميعا,P
الله يوفق هالنادي,P
مين بقي بالنادي,N
خلي الناس تطلع لبرا البلد فاضية مافيها شي بركي بيطلعووو شرفاء وبيضخوو عملة للبلد,G
مين ضل,N
عمر جنيات ههههههههههخليههههههيجرب,G
مابأثر ميسرة,N
هي لفريق كلو راح,N
نادي مفلس ماعندو شي يعملو وتقريبا هو النادي الوحيد يلي بيتعاقد مع اللعيبة وتاني يوم بنسمع بفسخ عقود لعما والله هاي ما صارت غير عنا,G
كلو خير ان شاء الله,P
مافي شي بقاموسكن اسمو شرط جزائي شو هالاتفاقات يلي متل غنية فيروز تعا ولا تجي,N
حسان عباس وبس,N
حفل تكريم ولا حفل عشاء ب  مليون وما استطاعت الاداره الموقره بتامين باص للترحال  الف لمؤازرة الفريق لانو الجمهور عصب اللاعب شكرا ادمن بعد شوي بتمحي المنشور,N
مبروك ياشباب بتستاهلو طيب من خلال هالتكريم ليش ماتم الاعلان عن المكافئات اللي حصل عليها الابطال ولا انقضت الشغلة بدروع تذكارية وحي الله الشباب,N
عالأمجاد منتلاقى معكن يا أبطال,P
وين صورة المندو وحتويك,N
تدوم الأفراح علينا يارب,P
نادي العز,P
الله يديم الأفراح بنادنيا العظيم والغالي الكرامة,P
انا وانتي مشروبنا المفضل ناقصو الفريز بس,N
